WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,HOUSE_OF_PARLIAMENT,IDA_NAME,TENURE,MP_NAME,WORK_DESCRIPTION,RECOMMENDATION_DATE,RECOMMENDED_AMOUNT,FLAG,CONSTITUENCY_ID,WORK_STAGE,LETTER_NO,SANCTION_AMOUNT,Sno,CONSTITUENCY,WORK_RECOMMENDATION_DTL_ID,FILE_STATUS,TENURE_START_DATE,TENURE_END_DATE,ATTACH_ID,SANCTION_DATE,Total_Amt
Normal/Others,"WS/MP18016/2026-2027/292111-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,providing pre fab shed for patient attendants and extension of shed in front of mch entrance at old government general hospital vijayawada,04-Jul-2026,1550000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/12,1550000.0,12.0,VIJAYAWADA,292111.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,06-Aug-2026,
Normal/Others,"WS/MP18016/2026-2027/292113-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,providing pre fab shed for patient attendants and extension of shed in front of forensic department at new government general hospital  vijayawada,04-Jul-2026,720000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/13,720000.0,13.0,VIJAYAWADA,292113.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,06-Aug-2026,
Normal/Others,WS/MP18016/2026-2027/301023-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of mahila bar association building at the bezawada bar association ,03-Aug-2026,3000000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/14,3000000.0,14.0,VIJAYAWADA,301023.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,29-Aug-2026,
Normal/Others,NA-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of community hall at balusupadu,06-Aug-2026,1800000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/15,1800000.0,15.0,VIJAYAWADA,301703.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Normal/Others,NA-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,improvements to sc burial ground,06-Aug-2026,600000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/16,600000.0,16.0,VIJAYAWADA,301713.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Normal/Others,NA-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of sc community hall at penuganchiprolu,06-Aug-2026,1800000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/17,1800000.0,17.0,VIJAYAWADA,301733.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Normal/Others,NA-Construction of public irrigation facilities,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of slab culvert as sc colony,06-Aug-2026,280000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/18,280000.0,18.0,VIJAYAWADA,301740.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Normal/Others,NA-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of compound wall to sc burial ground,06-Aug-2026,600000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/19,600000.0,19.0,VIJAYAWADA,301742.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Normal/Others,NA-Providing drains and gutters for public drainage,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc drain from sump well to ramaraju cheruvu,06-Aug-2026,720000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/20,720000.0,20.0,VIJAYAWADA,301744.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Normal/Others,NA-Construction of public irrigation facilities,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of culvert near kotta rambabu field opp ramaraju cheruvu,06-Aug-2026,80000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/21,80000.0,21.0,VIJAYAWADA,301748.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Normal/Others,NA-Providing drains and gutters for public drainage,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc drains from chukkapalli nageswararao to ramaraju cheruvu,06-Aug-2026,400000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/22,400000.0,22.0,VIJAYAWADA,301752.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Normal/Others,NA-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of community halls,06-Aug-2026,720000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/23,720000.0,23.0,VIJAYAWADA,301755.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Repair and Renovation,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,metalling to the road from bharothu raghu field to bharothu balaji field in kesya thanda village of a.konduru mandal,11-Aug-2026,1480000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/24,1480000.0,24.0,VIJAYAWADA,303011.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,reconstruction of the road from mnk road to thokapalli,11-Aug-2026,2200000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/25,2200000.0,25.0,VIJAYAWADA,303016.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Normal/Others,NA-Construction of additional rooms and halls in the existing public and community building,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,improvement of bc community hll at back side of ayyappa swami temple in 10th ward tiruvuru nagara panchayat,11-Aug-2026,1722000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/26,1722000.0,26.0,VIJAYAWADA,303017.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Normal/Others,NA-Construction of community centers and community halls,Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of community hall in bc colony in vutukuru village of gampalagudem mandal,11-Aug-2026,1600000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/27,1600000.0,27.0,VIJAYAWADA,303018.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc roads in 5 and 6 wards in vissannapeta,13-Aug-2026,840000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/28,840000.0,28.0,VIJAYAWADA,303732.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc roads in 7 wards in vissannapeta,13-Aug-2026,820000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/29,820000.0,29.0,VIJAYAWADA,303733.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Repair and Renovation,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,Construction of cc road from pathangi ramudu to pathangi gaanga raju tiruvuru rural mandal rajugudem vavilala,04-Sep-2026,200000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/31,200000.0,30.0,VIJAYAWADA,312404.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Repair and Renovation,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc road from kavati venkat to rayala ramulu tiruvuru rural vavilala rajugudem,04-Sep-2026,200000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/32,200000.0,31.0,VIJAYAWADA,312406.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Repair and Renovation,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc road from kattineni jaggayya to nagaiah tiruvuru rural vavilala rajugudem,04-Sep-2026,200000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/33,200000.0,32.0,VIJAYAWADA,312407.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Repair and Renovation,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc road from gandra rambabu to anil spatta tiruvuru rural vavilala rajugudem,04-Sep-2026,200000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/34,200000.0,33.0,VIJAYAWADA,312408.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Repair and Renovation,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc road from r&b road to gandi chruvu and other internal roads in peddavaram village tiruvurumandal,04-Sep-2026,200000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/35,200000.0,34.0,VIJAYAWADA,312409.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Repair and Renovation,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc road from r&b road to gogula krisgnaiah house in peddavaram village tiruvuru mandal,04-Sep-2026,200000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/36,200000.0,35.0,VIJAYAWADA,312410.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Repair and Renovation,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc road from r&b road to tasuboyina suramma house and other internal roads in peddavaram village tiruvuru mandal,04-Sep-2026,200000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/37,200000.0,36.0,VIJAYAWADA,312411.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
Repair and Renovation,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Andhra Pradesh,2.0,NTR(DISTRICT COLLECTOR NTR_IDA),18th Lok Sabha,Sivanath Kesineni,construction of cc road from gunja pullaiah house to narayanapurapu lakshmaiah house in koduru village of a.konduru mandal,04-Sep-2026,1000000.0,1.0,4.0,Pending for Sanction,LN/MP18016/2026-2027/38,1000000.0,37.0,VIJAYAWADA,312412.0,,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,NA,
,,,,,,,,,,,,,,,,,,,,,,,60754032.0
