WORK_CATEGORY,ACTIVITY_NAME,STATE_NAME,IDA_NAME,WORK_DESCRIPTION,MP_NAME,FLAG,CONSTITUENCY_ID,LETTER_NO,ACTUAL_AMOUNT,Sno,CONSTITUENCY,ACTUAL_END_DATE,WORK_RECOMMENDATION_DTL_ID,FILE_STATUS,WORK_ID,ATTACH_ID,AVERAGE_RATING,Total_Amt
Normal/Others,WS/MP18016/2025-2026/221411-Improvement of electricity distribution infrastructure,Andhra Pradesh,NTR(DISTRICT COLLECTOR NTR_IDA),Supply of erection of 2300 HP VT Pump and motor -1 No  and electrical and Mechanical works at Vedadri - kanchala lift irrigation scheme on Krishna river in Jaggaiahpeta mandal of NTR District ,Sivanath Kesineni,3.0,4.0,LN/MP18016/2025-2026/1,3290032.0,1.0,VIJAYAWADA,29-Jan-2026,221411.0,True,153118.0,2095790.0,0.0,
,,,,,,,,,,,,,,,,,,3290032.0
